tuid,source_segment,target_segment,domain
1,The integrated complex will improve the efficiency and competitiveness of the Russian nuclear industry and make nuclear energy even safer and more environmentally friendly.,Интегрированный комбинат позволит повысить эффективность и конкурентоспособность российской атомной отрасли и сделать атомную энергетику еще более безопасной и экологичной.,Nuclear Energy / Atomic Industry
2,"Previously, Russia had primarily stored its spent fuel and partly processed this fuel at the RT-1 plant at the Mayak Production Association near Ekaterinburg, about 1600 kilometers east of Moscow, in western Siberia.","Раньше в России отработавшее топливо в основном хранилось и частично перерабатывалось на заводе РТ-1 Производственного объединения «Маяк» близ Екатеринбурга, примерно в 1600 км к востоку от Москвы, в западной части Сибири.",Nuclear Energy / Atomic Industry
3,The movement of nuclear material requires additional safety and security measures.,При перемещении ядерного материала требуется принимать дополнительные меры по обеспечению физической и ядерной безопасности.,Nuclear Energy / Atomic Industry
4,"For instance, the MCC will handle the reprocessing of a new type of high enriched uranium called REMIX.","Например, ГХК будет заниматься переработкой нового вида высокообогащенного урана под названием РЕМИКС.",Nuclear Energy / Atomic Industry
5,"Connected to the grid in December 2015, it runs on nuclear fuel and has advanced safety characteristics.","Подключенный к энергосети в декабре 2015 года, он работает на ядерном топливе и имеет повышенные характеристики безопасности.",Nuclear Energy / Atomic Industry
6,"Ghana has successfully completed the conversion of its only research reactor from the use of high enriched uranium (HEU) fuel to low enriched uranium (LEU) fuel, in an international project supported by the IAEA to help decrease the proliferation risks associated with HEU fuel.","Гана успешно завершила конверсию своего единственного исследовательского реактора, переведя его с топлива из высокообогащенного урана (ВОУ) на топливо из низкообогащенного урана (НОУ), в рамках реализуемого при поддержке МАГАТЭ международного проекта, который способствует снижению рисков распространения, связанных с ВОУ топливом.",Nuclear Energy / Atomic Industry
7,It is therefore placed in water pools or in dry storage facilities to cool down.,Поэтому для охлаждения его помещают в бассейны с водой или в сухие хранилища.,Nuclear Energy / Atomic Industry
8,"Before construction of a disposal facility can begin, the company in charge of implementing the concept needs to obtain a construction licence.","Перед тем как начать строительство пункта захоронения, компания, отвечающая за реализацию концепции, должна получить лицензию на строительство.",Nuclear Energy / Atomic Industry
9,"A study was prepared on the basis of the CRP conclusions, which was then submitted to the regulator, who accepted the reasoning and increased the storage temperature limit.",На основе выводов ПКИ было подготовлено и направлено в регулирующий орган исследование; регулятор согласился с его доводами и повысил температурный предел для хранения.,Nuclear Energy / Atomic Industry
10,"Initially, all countries had planned to reprocess their spent fuel, either in their own facilities or abroad.","Изначально все страны планировали перерабатывать свое отработавшее топливо, либо на собственных установках, либо в других странах.",Nuclear Energy / Atomic Industry
